Identifier,Title,Series,Issue,Creator,Contributors,Correspondents,Date,Publisher,Location,Summary,Extent,Dimensions,Subject (FAST),Subject (People),Subject (Local),Decade,Theme,Genre,Type,Language,Repository,Collection,Folder,Rights,Digital Collection,Digital Publisher,Digitized,Transcript,Preservation Filename,Object ID
BC-0688_Recto,"Letter regarding Mr. Prasobsukh Sukhsvasti, 27 October 1938",,,"Sheehan, Murray",,"Marshall, Miss; Rosser, Aurelia; Sukhsvasti, Prasobsukh",1938-10-27,,District of Columbia--Washington; Ohio--Oxford,"A letter from Murray Sheehan, Superintendent of the Siamese Legation, to Miss Marshall, Secretary to the President of Miami University, dated 27 October 1938. The letter provides the address and occupation of Mr. Prasobsukh Sukhsvasti for the 1938 graduate files. Sheehan requests that Miami University refrain from granting the title of 'Prince' to Mr. Sukhsvasti, despite his own publicity. The letter mentions Mr. Sukhsvasti's potential roles in Siam as a high-school teacher or a government official.",,,"correspondence; Miami University (Oxford, Ohio); international students",,,1930-1939,,letters (correspondence),,English,,,,,,,,"[handwritten] 1 RP  
[handwritten] 2  
[handwritten] Mn Mr's - Pls note return  
[handwritten] e?ty

STUDENTS' DEPARTMENT  
MURRAY SHEEHAN, SUPERINTENDENT

SIAMESE LEGATION

2300 KALORAMA ROAD  
WASHINGTON, D.C.

October 27, 1938

Secretary to the President  
Miami University  
Oxford, Ohio

My dear Miss Marshall:

Miss Aurelia Rosser has written to
say that you would like to have Mr. Prasobsukh Sukhsvasti's
present address and occupation for the 1938 graduate files.

Mr. Sukhsvasti should be listed as M. C. Prasobsukh
Sukhsvasti, 10 Pra Aditya Road, Bangkok, Siam. I should like
again, as on previous occasions, to request that the title of
""Prince"" be not granted to him by Miami University, despite
Mr. Sukhsvasti's own apparent wide publicity on that score.
His position in Siam may be, as before, a high-school teacher,
or he may now be granted a position in one of the Government
offices.

Unfortunately, Miss Rosser named you only as ""Miss
Marshall,"" so I am unable to address you more fully.

Yours very truly,

[handwritten] Murray Sheehan

Superintendent",BC-0688_Recto,
BC-0692_Recto,"Upham itinerary document, undated",,,,,,,,Ohio--Oxford,"This document outlines the travel itinerary of Alfred H. Upham, president of Miami University (1928-1945), detailing mailing dates and locations from Oxford, Ohio. The itinerary includes stops in Yokohama, Manila, Singapore, Calcutta, Bombay, Cairo, and Naples, with addresses for American Express offices in each city. The document provides specific dates for each location, indicating a planned international trip.",,,travel,,,,,itineraries,,,,,,,,,,"Upham Itinerary

Address

Mailing dates
from Oxford, Ohio

Yokohama and Japan
December 6 - 19

American Express Co.
7 Nihon Odori, Nakaku
(P. O. Box 407)
Yokohama, Japan

November 17 - 24

Manila
December 27 - January 5

American Express Co.
95 Plaza Moraga
(P. O. Box 1463)
Manila, P. I.

November 24 -
December 1

Singapore
January 9 - 27

American Express Co.
No. 1, Collyer Quay
Singapore, Straits Sett*ments

December 1 - 14

Calcutta
February 6 - 7

American Express Co.
14-15 Government Place, East
(P. O. Box 2311)
Calcutta, India

December 14 -
January 1

Bombay
February 17 - 18

American Express Co.
82-84 Esplanade Road, Fort
(P. O. Box 507)
Bombay, India:

January 1 - 21

Cairo
February 28 - March 14

American Express Co.
Continental Savoy Bldg.
(P. O. Box 2160)
Cairo, Egypt

January 21 -
February 28

Naples and Italy
March 19 - April 10

American Express Co.
23a Piazza dei Martiri
Naples, Italy

February 28 - March 15

American Express Co.
Via Balbi (Hotel Columbia)
Genoa, Italy

March 15 - 30",BC-0692_Recto,
BC-0694_Recto,"Letter to Mr. Kiyoshi Tomizawa from Alfred H. Upham, 19 October 1937",,,"Upham, Alfred H.",,"Tomizawa, Kiyoshi",1937-10-19,,California--San Francisco,"A letter from Alfred H. Upham, president of Miami University (1928-1945), to Mr. Kiyoshi Tomizawa, dated October 19, 1937. Upham discusses his family's plans for a winter vacation involving a trip around the world, with a potential stop in Japan. He expresses a desire to meet Tomizawa in San Francisco before their departure. Upham also reflects on Tomizawa's visit to Oxford in June, noting the warm friendships he reestablished and the pride in his work.",,,"correspondence; Miami University (Oxford, Ohio); travel",,,1930-1939,,letters (correspondence),,,,,,,,,,"October 19, 1937

Mr. Kiyoshi Tomizawa
1528 Bush Street
San Francisco, California

My dear Tomizawa:

All summer and fall the Upham family have been
planning a winter vacation which would take the shape
of a trip around the world. In spite of many discourage-
ments we are still hopeful of carrying out our plans.
If we do, we shall sail from San Francisco at noon on
Saturday, November 13, using the President Hoover of
the Dollar Line. Of course these ships do not now touch
at any Chinese ports, but we are still hopeful that we
may be allowed to land at Yokohama and spend a number
of days in Japan. For that reason in particular I should
enjoy having opportunity for a chat with you either at
the pier or shortly before we sail. Since our time is
limited we do not expect to reach San Francisco before
Friday night. We shall probably stay overnight at the
Sir Francis Drake Hotel.

We all enjoyed your visit to Oxford in June quite
as much as I suspect you did. You reestablished many
warm friendships here, and we are all proud of the work
you are doing.

With all good wishes,

Very truly yours,

President",BC-0694_Recto,
BC-0695_Recto,"Letter to the Minister from Siam regarding Prasob Sukhvashti, 20 October 1937",,,"Upham, Alfred H.",,,1937-10-20,,District of Columbia--Washington,"A letter from Alfred H. Upham, president of Miami University (1928-1945), to the Minister from Siam at the Siamese Legation in Washington, D.C. The letter discusses Prasob Sukhvashti, a student who returned to Miami University to continue his studies. Upham praises Sukhvashti's academic performance and character, noting his determination and success in integrating into the university community. The letter supports Sukhvashti's plan to pursue a master's degree after completing his bachelor's degree.",,,"correspondence; Miami University (Oxford, Ohio); international students",,,1930-1939,,letters (correspondence),,,,,,,,,,"October 20, 1937

His Excellency, the Minister from Siam
Siamese Legation
Washington, D. C.

Dear Sir:

Prasob Sukhvashti, who has returned to Miami University
this fall to continue his college course here, has asked me
to write you regarding the record and impression he has made
on our campus.

During his earlier residence with us we all came to
think very highly of him, both on account of his natural
ability and because of the determination with which he went
to work to improve upon his record in the east and to
profit by the educational opportunities here. Except for
his wider experience he was just another Miami student, un-
assuming, dependable, and interested in what life here had
to offer. He did first class work in his studies and made
many friends among students and faculty. We have all been
delighted to have him return to us this year.

There is every indication that the young man has
entered upon his work this fall with the same fine spirit
he manifested before. In the interval he has had added ex-
perience in teaching and in newspaper work, so that he has
more definite objectives than before. His idea of continuing
here until he has completed work for the master's degree
seems to me entirely sound, since he will have slightly more
than enough credits for the A. B. degree at Commencement time
in June, and can qualify for the master's degree by the middle
of the next college year, about February 1, 1939. I am sure
that you may count upon him to do what he undertakes and ful-
fill all obligations.

Respectfully yours,

President",BC-0695_Recto,
BC-0696_Recto,"Letter to President William M. Jardine from Alfred H. Upham, 20 October 1937",,,"Upham, Alfred H.",,"Jardine, William M.",1937-10-20,,Ohio--Oxford; Kansas--Wichita,"A letter from Alfred H. Upham, president of Miami University (1928-1945), to President William M. Jardine of the University of Wichita. Upham discusses his plans for a sabbatical leave involving a trip around the world, with a scheduled departure from San Francisco on November 13. He seeks Jardine's advice and connections for the Cairo leg of his journey. Upham also mentions the public perception of university presidents taking sabbatical trips.",,,"correspondence; Miami University (Oxford, Ohio); travel",,,1930-1939,,letters (correspondence),,,,,,,,,,"October 20, 1937

President William M. Jardine
University of Wichita
Wichita, Kansas

My dear Jardine:

You may recall that when I was in your home last
June I indicated with very little confidence that the
Uphams were hoping to utilize a sabbatical leave for
winter vacation this year for a trip around the world.
One obstacle after another seems to arise to prevent this,
but we are still pushing ahead with our plans and have en-
gaged passage on a boat leaving San Francisco November 13.
Of course we shall have to detour around China, and per-
haps a few other places, but we are due to reach Cairo
about February 14 and make that our headquarters until
the end of February. We have no detailed plans for those
two weeks but expect to make the trip to Luxor and also to
Jerusalem.

I am wondering if in the light of your experience
and acquaintance there you would have any suggestions you
would care to offer or would indicate any people whom we
ought to see. I am told that this is the busiest time of
the year there, and well understand how that would be so.
If only you and your family were located there once more,
this part of our trip would be a real holiday. As it is,
we shall be just some other American tourists.

I am not letting much publicity out in regard to
this winter trip, because however valuable it may be for
professors to enjoy sabbatical travel, the public hardly
approves of presidents doing such wasteful things.

With all good wishes,

Very truly yours,

President",BC-0696_Recto,
BC-0697_Recto,"Dr. Upham and family planning trip to Japan, 16 November 1937",,,,,,1937-11-16,,Ohio--Oxford,"This newspaper clipping from the Journal-News, dated 16 November 1937, details the travel plans of Dr. A. H. Upham, president of Miami University, along with his family. They are set to leave San Francisco for a sabbatical trip to Japan, Hong Kong, the Philippines, Java, India, Egypt, and the Mediterranean countries, returning via New York. Dr. Upham intends to study educational methods abroad and visit Miami alumni. A. K. Morris will assume his duties during his absence.",,,"correspondence; Miami University (Oxford, Ohio); travel; education",,,1930-1939,,clippings (information artifacts),,,,,,,,,,"PAGE TWO

OXFORD

Ralph McGinnis, correspondent, phone Oxford 256-J or 560-L.
Miss Jean Van Ausdall, society and personals, phone Oxford 596.
News items may be left at Hoseck’s Studio.
J. C. Byrne Drug company, business agent for the Journal-News
Phone Oxford 41 for subscriptions and advertisements.

DR. UPHAM AND FAMILY
PLANNING TRIP TO JAPAN

To Leave San Francisco Next
Week For Voyage; Duties
On Campus Placed In
Hands Of A. K. Morris

Special To The Journal-News.
Oxford, Nov. 16.

Dr. A. H. Upham, Miami president, Mrs. Upham, and daughter,
Peggy, will leave this week for a
winter vacation which will be in
the nature of a Sabbatical leave.

The Uphams plan to leave San
Francisco early next week and will
visit Japan, Hong Kong, the Philippines, Java, India, Egypt, and
the Mediterranean countries, returning via New York.

Dr. Upham will study educational methods in foreign universities and will visit Miami alumni
living abroad.

They will be met in Honolulu by
Mrs. W. H. Shideler, and later will
meet Dr. Shideler, who is touring
the world, in Bombay.

The Uphams plan to renew old
acquaintances among Miami alumni
now living in Japan, the Philippines, and other countries.

Dr. Upham returned to Miami in
1927 after an absence of eight
years as president of the University of Idaho. A. K. Morris, vice
president, will act for him in his
absence.

Oxford Business Notices

FOR SALE—Electric stove in good
condition. Apply McGreevy Dairy
and Ice Co., Dixie highway.
79—2t

the American Association for the
Advancement of Science to give
the guest address at their December meeting in Indianapolis.

During the speech, Dr. Evans will
show 24 reels of motion pictures
which he took last summer on his
trip in the West. The pictures are
on such subjects as the Great
Plains, the forests of the Northwest, and the vegetation of the
perial desert.

Dr. Heckert To Head
Red Cross Canvass

The Red Cross roll-call
ford will be conducted by
of Stewart and McGuffey
schools. Dr. J. W. ?
serve as chairman of
canvass will begin
November 18,
through Novemb

Ticket Sale M
For Turkey

Season
tickets
cinn

pl

A.A.U.W. Arran
Annu

[unclear]",BC-0697_Recto,
BC-0698_Recto,"Miami U. president among 503 rescued from grounded liner, 11 December 1937",,,,,,1937-12-11,,Ohio--Cincinnati,"A newspaper clipping from The Post, dated 11 December 1937, reporting on the rescue of Miami University President Alfred H. Upham among 503 passengers from a grounded liner. The article also covers the Japanese military actions in Nanking, predicting a complete victory by nightfall. The clipping includes various news items, such as weather forecasts and local events in Cincinnati.",,,"Miami University (Oxford, Ohio); correspondence; Japanese Americans; World War (1939-1945)",,,1930-1939,,clippings (information artifacts),,,,,,,,,,"Tosses His Dime

The Post

U. S. WEATHER FORECAST: Fair, slightly warmer tonight.

VOL. 114. NO. 141.	CINCINNATI, SATURDAY, DEC. 11, 1937.	Entered at Cincinnati as Second Class Matter Jan. 15, 1881. Act of 1879.

HAMILTON
BUTLER COUNTY NEWS
PAGE 9

The Post has dispatches of the United Press,
greatest world-wide news-gathering association.

PRICE THREE CENTS

Miami U. President Among 503
Rescued From Grounded Liner

JAPS STORM
LAST DEFENSE
AT NANKING

Thousands of Troops Battle
in City, Complete Victory
by Nightfall Predicted

By the United Press.
SHANGHAI, Dec. 11.—Thousands
of Japanese troops stormed the last
Chinese defenses inside Nanking
today, and hoped to completely sub-
due the city by nightfall.

A Japanese army spokesman said
that ""encircling"" positions of the Chi-
nese positions is proceeding rapidly and
pockets left by the enemy will be de-
layed for a long time.

He added that there was
""considerable Chinese opposition.""
Three former Japanese Col. Kobayashi
stated that all enemy opposition
had been taken in the city and that
the capital had been taken.

Nanking's ancient wall, 32 miles
long, had been broken in many
places by the thousands of shells
turned into the enemy artillery.
Japanese said in a highway and
bridge: the walls of Nanking were
completed by the city of
the city were used.

The first Japanese detachments
entered the city at various places
in the city by troops.
...
Chinese Rake Streets

A rain of Chinese machine gun
bullets, poured from houses and
street blocks, swept the half mile
wide open space to the gate and
cut down hundreds of Japanese.
Some reports described the fight-
ing as the first of the hour-long
fire-power attack.

The Japanese said that
the capital to the last minute.
""It is expected to take extreme
mop-up process...
...
...
Mayor Wilson ""pitches the first dime"" in the Mile-o-Dimes campaign.

SEE COLD WAVE
ABOUT TO LIFT

Forecaster Says Brief Respite
From Frigid Blast Is Due
Over Week-end

A brief respite from the cold wave
is Cincinnati was promised for the
week-end Saturday, together with
the prediction that a mass of frigid
air hovering over the northwest will
invade most of the United States
early next week.

Weather Forecaster Devereux
predicted fair weather tonight, with
temperatures no more than 18 to 22
degrees below the normal expected
by day and the warmest with over-
cast.

The temperature dropped to 8.4
at 3 m. as rain, Saturday, but
climbed to 17 at 10 a. m. The low-
est temperature predicted for Sun-
day was between 20 and 30 and
flurries through the day.

Floods, gales and torrential rains
on the Pacific Coast left hundreds
homeless, and accounted for the loss
to thousands of dollars in merchan-
dise and property inhabited by
flood waters.

A reservoir in Pine Creek near
Alturas, Calif., gave way early Sat-
urday, sending thousands of gallons
of water into the city. An
avalanches of water swept into
the business section, where
merchants were attempting to build
drkes, with sacks of flour over short
fronts to protect stocks.

Floods, Gales Unite

On the West Coast floods and
gales combined with extreme cold
and left isolated towns and down-
town areas in their wake. All com-
munications were severed in down-
towns, Calif., where the Yuba River
rolled over its banks and swamped
15 homes away. At least 450 per-
sons were reported to have fled
from their homes and one man
was reported missing.

Other California rivers were at a
record peak and flood stage as a
result of the flood and snow in
24 hours.

At",BC-0698_Recto,
BC-0699_Recto,"Letter to Mr. Koichi Hasegawa from the president, 19 October 1937",,,"Upham, Alfred H.",,"Hasegawa, Koichi",1937-10-19,,Ohio--Oxford; Japan--Osaka,"A letter from Alfred H. Upham, president of Miami University (1928-1945), to Mr. Koichi Hasegawa in Osaka, Japan, dated 19 October 1937. Upham discusses his family's planned winter vacation, which includes a trip around the world with stops in Japan. He provides details of their itinerary, including stays in Yokohama, Tokyo, and Kyoto, and mentions arrangements made with American Express. Upham expresses hope that current conditions will not interfere with their plans and extends an invitation to meet Hasegawa during their visit.",,,"correspondence; Miami University (Oxford, Ohio)",,,1930-1939,,letters (correspondence),,,,,,,,,,"October 19, 1937

Mr. Koichi Hasegawa
57 Naka 1 Chome
Sonezaki, Kitaku
Osaka, Japan

My dear Hasegawa:

In spite of many discouragements the Upham family is
still planning quite definitely a winter vacation which will
take the form of a trip around the world. We shall have to
be detoured around China, but we still have every assurance
that your country will be open to visitors and that we shall
have every opportunity to get around. I have heard from
Dr. Shideler, who has been in Japan until very recently and
who I believe saw you during his visit there. We would be
glad also to see you sometime and some place which proves
to be convenient for you during our all too limited stay in
the country.

Our present plan is to reach Yokohama on the President
Hoover on the morning of Saturday, November 27. We have
reservations at the Imperial Hotel in Tokyo for several days.
We are to reach Kioto Wednesday afternoon, December 1, and
will be at the Miyako Hotel there. We plan to sail from Kobe
Sunday, December 5. I am writing you these details so that
it may be easier for you to establish contact with us, and
not with the thought that you should feel any obligation what-
ever to show us around or do things for us. We have arranged
a rather busy itinerary with the American Express, and hope
that the rather unusual conditions now prevailing will not
interfere too seriously with what we should like to do.

With all good wishes,

Very truly yours,

President",BC-0699_Recto,
BC-0703_Recto,"Foreword by A. H. Upham, undated",,,"Upham, Alfred H.",,,,,Ohio--Oxford,"This foreword by Alfred H. Upham, president of Miami University (1928-1945), introduces a book by Swasdi Nitibhom, a native of Thailand. The book is based on a ballroom dancing class conducted by Nitibhom for American students. Upham highlights the cultural exchange and the shared experiences between Thai students and their American counterparts at Miami University. He praises the grace and rhythm Nitibhom brings from his experiences in England and Thailand.",,,"Miami University (Oxford, Ohio); international students; Thailand",,,,,prefaces,,,,,,,,,,"[handwritten] Nitibhom

FOREWORD

Dancing, like music, is an art that has no boundaries
of race and language. This little book by a native of Thailand
has grown out of a voluntary class in ball-room dancing con-
ducted by him for a typical group of American students. He
perfected his art in England. His pupils have never witnessed
the subtle posturing of Siamese dancers or heard the temple-
bells that still echo in his ears. But they appreciate and
profit by the added grace and rhythm and sense of refined
beauty he has brought with him from other shores.

[handwritten] Swasdi Nitibhom and the little group of other young
men from Thailand who have chosen to live and work for a time
among us are very welcome here at Miami University. They have
sent our imaginations questing half way around the world. At
the same time, with their American nicknames, their interest
in our sports and recreations, and their ability to show us up
in the classroom, they have made us realize how much all stu-
dents everywhere have in common. We frankly admit that one of
them can effectively teach us to dance our own dances.

A. H. Upham",BC-0703_Recto,
BC-0708_Recto,"College aid letter #4, 8 November 1939",,,"Weston, S. Burns",,,1939-11-08,,Ohio--Columbus,"A letter dated November 8, 1939, from S. Burns Weston, State Administrator of the National Youth Administration for Ohio, addressed to the presidents of Ohio colleges and universities. The letter requests a report on institutional participation in the NYA College and Graduate Aid Program, including enrollment numbers and details about Negro students and NYA applications. Harry E. Rabe, Assistant Director of the Work Projects Division, is also mentioned.",,,correspondence; education,,,1930-1939,,letters (correspondence),,,,,,,,,,"Federal Security Agency
NATIONAL YOUTH ADMINISTRATION FOR OHIO
Hoster Bldg.
Columbus, Ohio

November 8, 1939

COLLEGE AID LETTER #4

TO: Presidents of Ohio Colleges and Universities

The Washington office of the National Youth Administration
has requested a report on institution participation in the
NYA College and Graduate Aid Program, including the follow-
ing information:

1. The institution's total enrollment as of Nov-
ember 1, 1939.
2. The number of Negro students enrolled.
3. The total number of NYA applications received.
4. The number of applications which the institution
has approved or is planning to approve for NYA Aid,
5. Institutions which have approved Negro applicants
are requested to indicate the type of work to which
they have been assigned.

Will you, therefore, kindly furnish us with this information,
and as soon as possible, on the enclosed form? We shall
appreciate receiving your report before November 17, 1939.

Sincerely yours,

S. Burns Weston
State Administrator

BY: Harry E. Rabe

Harry E. Rabe, Assistant Director
Work Projects Division",BC-0708_Recto,
