Identifier,Human Title,Human Creator,Human Date,Human Location,Human Genre,Human Summary,Baseline AI Summary,Few-Shot AI Summary,Human word count,Baseline word count,Few-shot word count,Baseline length delta vs human,Few-shot length delta vs human,Baseline lexical similarity to human,Few-shot lexical similarity to human,Few-shot validation errors,Few-shot validation warnings,Automatic flags,Tone/style match score baseline (1-5),Tone/style match score few-shot (1-5),Specificity score baseline (1-5),Specificity score few-shot (1-5),Factual grounding score baseline (1-5),Factual grounding score few-shot (1-5),Readability score baseline (1-5),Readability score few-shot (1-5),Cataloging usefulness score baseline (1-5),Cataloging usefulness score few-shot (1-5),Winner,Notes
BC-0688,"Letter from Murray Sheehan to Marie Marshall regarding Title for Prasobsukh Sukhsvasti, 27 October 1938","Sheehan, Murray",1938-10-27,Washington (D.C.),letters (correspondence),"Addressed to Secretary to President Upham, Marie Marshall, from Superintendent of the Student's Department at the Siamese/Thai Legation/Embassy. The letter concerns itself with how to address Prasobsukh Sukhsvati, a Prince of the Thai monarchy, within the graduate files at Miami University in order to prevent anymore unnecessary publicity, reflecting instead his humble occupation as a soon to be high-school teacher or government bureaucrat.",A letter from Murray Sheehan of the Siamese Legation to the secretary to the president of Miami University regarding the listing of Mr. Prasobsukh Sukhsvasti and the request to not grant him the title 'Prince'.,"Murray Sheehan, Superintendent of the Students' Department at the Siamese Legation, writes to Miss Marshall, Secretary to the President of Miami University, providing the current address and occupation of Prasobsukh Sukhsvasti for the 1938 graduate files. Sheehan requests that Miami University refrain from using the title 'Prince' for Sukhsvasti, despite his own publicity. Sukhsvasti is noted to be either a high-school teacher or possibly holding a government position in Siam.",67,35,71,-32,4,0.193,0.329,0,0,,,,,,,,,,,,,
BC-0692,"Itinerary for travels of Alfred Upham through Japan, Philippines, Singapore, India, Egypt, and Italy, 17 November 1937 - 30 March 1938",,1937-11-17-1938-03-30,Ohio--Oxford,itineraries,"An itinerary of locations throughout Asia for President Upham to stay, how long he would stay, and the mailing dates for each loaction from Oxford, Ohio. Styled as a ""vacation,"" in reality President Upahm was surveying the different teaching methods in each country as well as visitng alumni at these places.","Document detailing the travel itinerary for Upham, listing destinations and addresses of American Express branches from December to March.","This document outlines the travel itinerary of Alfred H. Upham, president of Miami University, detailing his planned visits to various international locations including Yokohama, Manila, Singapore, Calcutta, Bombay, Cairo, and Naples. The itinerary includes addresses for American Express offices in each city and mailing dates from Oxford, Ohio. The document reflects Upham's extensive travel plans, likely related to his academic and administrative duties.",51,19,64,-32,13,0.130,0.186,0,0,,,,,,,,,,,,,
BC-0694,"Letter from Alfred Upham to K. Tomizawa requesting to meet in San Francisco before departing for vacation abroad, 19 October 1937","Upham, Alfred Horatio",1937-10-19,Ohio--Oxford,letters (correspondence),"Several weeks before President Upham's departure for San Francisco and from there, Japan, Upham addresses a letter to accomplished Miami alum, Kiyoshi Tomizawa. A priority in Upham's travels to Asia was to meet with alumni that lived in Asia, including Tomizawa who Upham hoped to have a conversation with in San Francisco before abruptly leaving on a ship bound for Japan, perhaps not only could they catch up on Tomizawa's career but his personal experience as a Japanese person.","A letter from Alfred H. Upham, president of Miami University (1928–1945), to Mr. Kiyoshi Tomizawa, discussing a planned winter vacation around the world by the Upham family and a potential meeting in San Francisco.","A letter from Alfred H. Upham, president of Miami University, to Kiyoshi Tomizawa, discussing the Upham family's planned winter vacation around the world. The letter mentions their intended departure from San Francisco on November 13, 1937, aboard the President Hoover of the Dollar Line, with hopes of visiting Japan. Upham expresses a desire to meet Tomizawa before their departure and reflects on Tomizawa's recent visit to Oxford.",82,35,69,-47,-13,0.154,0.192,0,0,,,,,,,,,,,,,
BC-0695,"Letter from Alfred Upham to the Minister of Siam regarding Miami student Prasob Sukhvashti, 20 October 1937","Upham, Alfred Horatio",1937-10-20,Ohio--Oxford,letters (correspondence),"Addressed to a Minister of Siam, a representative from the Siamese Legation in D.C., President Upham speaks highly of the Thai Prince, Prasobsukh Sukhvasti, as not only an excellent undergraduate student but a soon to be graduate student. Sukhvasti was not only an exceptional student who had accomplished teaching experiences during his break between the school years, but he had also been an amiable person, making friends with Miami students to faculty.","A letter from Alfred H. Upham, president of Miami University (1928–1945), to the Minister from Siam, discussing the achievements and future plans of Prasob Sukhvashti, who is returning to complete his studies.","A letter from Alfred H. Upham, president of Miami University (1928-1945), to the Minister from Siam at the Siamese Legation in Washington, D.C. The letter discusses Prasob Sukhvashti, a student at Miami University, highlighting his academic achievements and positive contributions to the campus community. Upham expresses confidence in Sukhvashti's ability to complete his master's degree by February 1939, emphasizing his determination and experience gained in teaching and newspaper work.",73,33,73,-40,0,0.145,0.154,0,0,,,,,,,,,,,,,
BC-0696,"Letter from Alfred Upham to WN Jardine regarding his upcoming travels and travel advice, 20 October 1937","Upham, Alfred Horatio",1937-10-20,Ohio--Oxford,letters (correspondence),"In preparation for his eventual stay in Egypt during his Asian sabbatical, President Upham reaches out in this letter to President William Jardine of the University of Wichita, a well traveled expert and scholar on Egyptian and Middle Eastern subjects. President Upham addresses the problems that he has had to organize this trip to Asia, including the forgoing of China due to the Japanese invasion at the time, as well as his lack of experience in certain countries. President Upham ends the letter by stating that while he wants special treatment where he travels as an academic, he also wishes to avoid unwanted publicity to not be seen as wasting University funding.","A letter from Alfred H. Upham, president of Miami University (1928–1945), to President William M. Jardine of the University of Wichita, discussing plans for a sabbatical trip around the world, including stops in Cairo, Luxor, and Jerusalem.","A letter from Alfred H. Upham, president of Miami University, to William M. Jardine, president of the University of Wichita. Upham discusses his upcoming sabbatical travel plans, including a trip around the world with stops in Cairo, Luxor, and Jerusalem. He seeks Jardine's advice on people to meet and places to visit, while noting the lack of publicity for the trip due to public perception of presidential travel.",112,38,69,-74,-43,0.165,0.200,0,0,,,,,,,,,,,,,
BC-0697,"Newspaper clipping titled ""Dr. Upham and Family Planning Trip to Japan"" from the Journal-News, undated","Upham, Alfred Horatio",1937,Ohio--Oxford,newspaper clippings,"A clip of an article from the Oxford Journal-News regarding President Upham's trip to Asia. The entire Upham family is revealed to be going on the trip, and were to meet familiar Miami faculty Dr. and Mrs. Shideler as President Upham observes the educational practices in Asia and to meet with alumni that now lived in Asia.","A newspaper clipping from the Journal-News detailing Dr. Alfred H. Upham's planned trip to Japan for a sabbatical to study educational methods and visit Miami University alumni. The Upham family will visit several countries, including Japan and India.","A newspaper article from the Journal-News dated 16 November 1937, detailing the upcoming sabbatical trip of Dr. A. H. Upham, president of Miami University, and his family. They plan to leave San Francisco for a winter vacation, visiting Japan, Hong Kong, the Philippines, Java, India, Egypt, and the Mediterranean countries. Dr. Upham intends to study educational methods abroad and visit Miami alumni. A. K. Morris will assume his duties during his absence.",59,40,73,-19,14,0.224,0.186,0,0,,,,,,,,,,,,,
BC-0698,"Newspaper clipping titled ""Miami U. President Among 503 Rescued from Grounded Liner"" from the Post, 11 December 1937",United Press,1937-12-11,Ohio--Cincinnati,newspaper clippings,"In an issue of The Cincinnati Post, it is revealed that due to the Japanese invasion of China in addition to bad weather, the ship that President Upham and his family were on was forced to take a new route, resulting in the boat being grounded upon a reef south of Japan. The Upham family were all reported to be safe despite some passengers needing medical attention due to exposure, thankfully being rescued from nearby ships in a short time.","A newspaper article from The Post discussing the rescue of Alfred H. Upham, president of Miami University, among 503 passengers from a grounded liner.","A newspaper article from The Post, dated December 11, 1937, reporting on the rescue of Miami University President Alfred H. Upham and 502 others from a grounded liner. The article highlights the incident and mentions that Dr. Upham, along with his wife and daughter, were taken from the ship and are believed to be safe. The event is part of a broader coverage of news in Cincinnati, Ohio.",80,24,68,-56,-12,0.117,0.165,0,0,,,,,,,,,,,,,
BC-0699,"Letter from Alfred Upham to K. Hasegawa requesting to meet during Upham's trip to Japan, 19 October 1937","Upham, Alfred Horatio",1937-10-19,Ohio--Oxford,letters (correspondence),"A letter from President Upham, addressed to Miami alum Koichi Hasegawa asking if he would like to meet while he is in Japan. Part of a series of letters President Upham sent out before he departed to San Francisco to various Miami alum, Hasegawa is asked to help President Upham and his family be guided in Japan, Upham prefacing how difficult it has been to organize the trip.","A letter from Alfred H. Upham, president of Miami University (1928–1945), to Mr. Koichi Hasegawa in Osaka, detailing winter travel plans in Japan during 1937 despite difficulties.","Alfred H. Upham, president of Miami University (1928-1945), writes to Koichi Hasegawa detailing his family's upcoming travel plans in Japan. Despite challenges, the Uphams plan to visit Yokohama, Tokyo, and Kyoto, with accommodations arranged at the Imperial Hotel and Miyako Hotel. Upham expresses hope that current conditions will not disrupt their itinerary and extends an invitation to meet Hasegawa during their stay.",68,28,64,-40,-4,0.154,0.145,0,0,,,,,,,,,,,,,
BC-0703,"Foreword written by Alfred Upham for book by Swasdi Nitibhon on the topic of dance, undated","Upham, Alfred Horatio",,Ohio--Oxford,prefaces,"In a book regarding dance written by Miami alum Swasdi Nitibhon, one of the cohort of Thai students, president Upham wrote a forward on the shared cultural experience of dance. Thai students at Miami University in the early 20th century seemed to have been well received by the University population; they were not only interested in learning about American culture but had been excellent students academically.","A foreword written by A. H. Upham, discussing a ballroom dancing class led by Swadi Nitibon from Thailand at Miami University.","A foreword written by Alfred H. Upham, president of Miami University (1928-1945), introducing a book by Swadi Nitibon, a native of Thailand. The book is based on a ballroom dancing class conducted by Nitibon for American students. Upham highlights the cultural exchange and the shared experiences between Thai students and the Miami University community, emphasizing the universal nature of art and dance.",66,21,63,-45,-3,0.075,0.191,0,0,,,,,,,,,,,,,
BC-0708,"Memo from the National Youth Administration requesting a report on the number of African American students enrolled at Ohio colleges and universities, 8 November 1939","Weston, S.Burns; Rabe, Harry E.; National Youth Administration (NYA)",1939-11-08,Ohio--Columbus,memorandums,"Addressed to all Ohio colleges and universities, the NYA makes a request for multiple demographic questions including the number of African American students, the total enrollment of students, total number of NYA applicants, the number of NYA applicants getting aid, and the type of work that African American students perform.",A letter from the National Youth Administration for Ohio requesting information from Ohio Colleges and Universities regarding participation in the NYA College and Graduate Aid Program.,"A letter from S. Burns Weston, State Administrator of the National Youth Administration for Ohio, addressed to the presidents of Ohio colleges and universities. The letter requests a report on the institutions' participation in the NYA College and Graduate Aid Program, including enrollment numbers and details about Negro students. Harry E. Rabe, Assistant Director of the Work Projects Division, is noted as a contributor.",50,26,64,-24,14,0.200,0.228,0,0,,,,,,,,,,,,,
