RelativePath,SHA256,Bytes,LastWriteTimeUTC
handoff\release_2026-08-24_manual_corrections\CORRECTION_LOG_2026-08-24.md,DE4F699238CD0A104288001F972733A45102E537BFD163746DDE2636B6A3205B,3397,2026-08-24T19:00:20Z
handoff\release_2026-08-24_manual_corrections\final_metadata_manual_corrections_2026-08-24.csv,F1F3DA56C201DC3D4E6706AD7C38C50DB397CE059B0F1B9802065104A6B9EE9B,34353,2026-08-24T19:09:31Z
handoff\release_2026-08-24_manual_corrections\RELEASE_NOTE_2026-08-24.md,4C615A4DB1545A2A9C241DBD8124F8CB5D1297269FF0B3440086C70D9993BFDC,2576,2026-08-24T19:02:31Z
handoff\release_2026-08-24_manual_corrections\validation_report_manual_corrections_2026-08-24.csv,123D83E3497EB8C2D674B25F0F473D3DA7F7B14ADD6BD7CACB6E9FA7EB11F41B,431,2026-08-24T19:09:32Z
out_manual_corrections_2026-08-24\BC-0688_Recto.json,968431CF0F00BAD9DED5D1C3B71B79C381C35EE7B259AB13081D8E924522C219,4320,2025-12-15T19:20:21Z
out_manual_corrections_2026-08-24\BC-0688_Recto.loc15.json,7C55E5067DB5442F4E111E407781158278CF31DDA062A4E99413A15DCB29CB10,7646,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0692_Recto.json,C0C02187C639B7DAF6360A4F82E0AC6BBAACFC06E1A61E269EAE90A0573AB9D0,4101,2025-12-15T17:56:56Z
out_manual_corrections_2026-08-24\BC-0692_Recto.loc15.json,517E4385110D82CBA54C2C8033D2625193ABF3E580EFE6EA27B5ED1DA09D721E,6693,2026-03-29T17:36:23Z
out_manual_corrections_2026-08-24\BC-0694_Recto.json,FA962A0AA47F3F56E2FE4B1157D85150F5D69EE96338934E7520F5A863D59CF4,3571,2025-12-15T17:57:42Z
out_manual_corrections_2026-08-24\BC-0694_Recto.loc15.json,2964599454CD6E6763DFAF2C250F1AB64473D0C1481643C3C76FDC02EB797674,7765,2026-03-29T15:17:14Z
out_manual_corrections_2026-08-24\BC-0695_Recto.json,C5D3E2D64ACA91AC841B034BF7C50971C40C1A0D37BD17BAD8063E0D39B7DF42,5198,2025-12-15T17:58:53Z
out_manual_corrections_2026-08-24\BC-0695_Recto.loc15.json,1D067A5E176EF9C72790106D11E1C1FE5D38AFFCC0F91EA6BEFBE47A4A038764,8796,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0696_Recto.json,6682C2047F11043C8B0EDB3183C35CD522981AAB7986B75447B881A32BB3E6A8,5094,2025-12-15T18:00:32Z
out_manual_corrections_2026-08-24\BC-0696_Recto.loc15.json,C6817FF27DE58A7883BB22101A1C9B2E518102ACF0613A718B8821A83ECA12B6,8523,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0697_Recto.json,58E814649EF175E82A5136A4EEBE7BF3540BCC733A7D150B24C1DB9CC5680FC1,4869,2025-12-15T18:01:59Z
out_manual_corrections_2026-08-24\BC-0697_Recto.loc15.json,9249261F70E994E15DA22C59118A02C0A77EBE4B8C554822A9ED72563AC1DD0A,9725,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0698_Recto.json,19EA5DCE10202998F6E5D04C79EC5D56575D460292160CA792E37AFC20A2FC2C,5138,2025-12-15T18:04:38Z
out_manual_corrections_2026-08-24\BC-0698_Recto.loc15.json,4344CA4605122058F188F519BEB0953443F788983BF172EC27BAA5F74771F54E,11058,2026-08-24T19:09:31Z
out_manual_corrections_2026-08-24\BC-0699_Recto.json,9123150EBD9F44EC0E0A42825DD17B97D3E3D8EAF624964CAE138BD5F738E802,5014,2025-12-15T18:06:02Z
out_manual_corrections_2026-08-24\BC-0699_Recto.loc15.json,5F1483C186339A81DFC16CFDBC009E9CAEBD9B8EF72596369373E638DAF2F0C0,8015,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0703_Recto.json,B28A1E9AB229065170F2B592F8B3CB4EB2C562905B759DCBF2EFCED0909E1B68,3946,2025-12-15T18:07:09Z
out_manual_corrections_2026-08-24\BC-0703_Recto.loc15.json,98542A2CC124BBD2D03C0D7B736BF5361D7BC7704ED7663622B2BCD0583F4150,7478,2026-08-24T19:04:30Z
out_manual_corrections_2026-08-24\BC-0708_Recto.json,648B03438B941868DAF24528FC2243222598B0429F81491699D3211DE47F63F8,4326,2025-12-15T18:08:14Z
out_manual_corrections_2026-08-24\BC-0708_Recto.loc15.json,7FA81023AA0DA6C92B36B0189EF805D6A5D3B5001F25F102FD2C2465ADDB5CEF,8203,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0710_Recto.json,363688A32B53954E456D38BA8A2E5910FD699865A96696A269744AD8ACCB74C8,2759,2025-12-15T18:09:56Z
out_manual_corrections_2026-08-24\BC-0710_Recto.loc15.json,A4494E5364DDD1BE943082BAE9DAC0CE22DD8257D7CC26253F3C354F87599299,7897,2026-08-24T18:53:47Z
out_manual_corrections_2026-08-24\BC-0711_Recto.json,FE6E38B459EEE4032036AB2DA3417115316A7692114522F235693E08D0A00677,6000,2025-12-15T18:11:53Z
out_manual_corrections_2026-08-24\BC-0711_Recto.loc15.json,285A8A18BE7E13ACF75819338C1447EE5A098A28847D85D41D2B038B8880062A,9402,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0713_Recto.json,366CCD166AC652C49262688FDFA3D187B77F2CB2F5096B78635F7272A1A72CD7,3684,2025-12-15T18:13:00Z
out_manual_corrections_2026-08-24\BC-0713_Recto.loc15.json,9A33832DB5469D55431935A3609AF32156BC70E3BC49962A6E0AAF4649EE831A,7563,2026-08-24T18:53:47Z
out_manual_corrections_2026-08-24\BC-0714_Recto.json,A5457F93AE7ED12CD4FE8C13980C91CC5FE30DFE548C8AF025A1DEBE3A9AA882,2466,2025-12-15T18:13:58Z
out_manual_corrections_2026-08-24\BC-0714_Recto.loc15.json,66458BEA0B83C6565743C38E184920B466E1149FDE98C7162A8EC2196928E004,6394,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0716_Recto.json,CF68239B852125BFDC436A38C00A52F8E10BABFEB17B4A903D38BE3D210F8342,3726,2025-12-15T18:14:51Z
out_manual_corrections_2026-08-24\BC-0716_Recto.loc15.json,0D3B0F1079BE66621FCC73AA264BEBF4F31060A897CB791E96FD21B6948629BA,7256,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0718_Recto.json,F0166A653C5C806CDEC8917E352E4BDB502E45A0235E9E108903E45CFF986D0B,5558,2025-12-15T18:16:20Z
out_manual_corrections_2026-08-24\BC-0718_Recto.loc15.json,2BA01A26E188466324C3D716B73A58D101D194CE2B3F1CDF961D287215A1B435,9327,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0897_Recto.json,032392401A736DEEABB6F53E42635628B715662517ABD548B43B82ABEF43E87A,4745,2025-12-15T18:17:37Z
out_manual_corrections_2026-08-24\BC-0897_Recto.loc15.json,4630315B4688593C31DC55A5348007BC56D0490E0A810F318A0EB3750F918B67,8408,2026-03-29T14:56:54Z
out_manual_corrections_2026-08-24\BC-0926_Recto.json,62A27DE1187ECFE1B0A7C8CAA984670CEE4D63E95CDB9BEE59E8DFE245CD8C66,5442,2025-12-15T18:19:33Z
out_manual_corrections_2026-08-24\BC-0926_Recto.loc15.json,CB994C1D741019237B1BEBA1F87E747190344002789896BF25143E16A0D8A81C,9106,2026-03-29T14:56:04Z
out_manual_corrections_2026-08-24\BC-0934_Recto.json,2AE6E4259A4A5522D8311CEBF96E50FB6E46317684608AE2770AA60E837FE3FC,3627,2025-12-15T18:20:36Z
